Controller,.NET_Path,Java_Path,Status
BusinessEntity,/BusinessEntity/GetAllLegalEntity,/BusinessEntity/GetAllLegalEntity,IMPLEMENTED
BusinessEntity,/BusinessEntity/AddLegalEntity,/BusinessEntity/AddLegalEntity,SKELETON
BusinessEntity,/BusinessEntity/UpdateLegalEntity,/BusinessEntity/UpdateLegalEntity,SKELETON
BusinessEntity,/BusinessEntity/DeleteLegalEntity,/BusinessEntity/DeleteLegalEntity,SKELETON
BusinessEntity,/BusinessEntity/GetLegalEntity,/BusinessEntity/GetLegalEntity,SKELETON
BusinessEntity,/BusinessEntity/GetAllLocation,/BusinessEntity/GetAllLocation,IMPLEMENTED
Dashboard,/Dashboard/GetEmployeeEvents,/Dashboard/GetEmployeeEvents,IMPLEMENTED
Dashboard,/Dashboard/GetAllHRcount,/Dashboard/GetAllHRcount,IMPLEMENTED
Dashboard,/Dashboard/GetDashboardSummary,/Dashboard/GetDashboardSummary,IMPLEMENTED
Dashboard,/Dashboard/GetLeaveStatistics,/Dashboard/GetLeaveStatistics,IMPLEMENTED
Dashboard,/Dashboard/GetAttendanceStatistics,/Dashboard/GetAttendanceStatistics,IMPLEMENTED
Employee,/Employee/DDCompany,/Employee/DDCompany,IMPLEMENTED
Employee,/Employee/DDLegalEntity,/Employee/DDLegalEntity,IMPLEMENTED
Employee,/Employee/DDAuthorisedEntity,/Employee/DDAuthorisedEntity,IMPLEMENTED
Employee,/Employee/DDBusinessUnit,/Employee/DDBusinessUnit,IMPLEMENTED
Employee,/Employee/DDLocation,/Employee/DDLocation,IMPLEMENTED
Employee,/Employee/GetAllEmployee,/Employee/GetAllEmployee,IMPLEMENTED
Employee,/Employee/GetEmployee,/Employee/GetEmployeeById,IMPLEMENTED
Employee,/Employee/AddEmployee,/Employee/SaveEmployee,IMPLEMENTED
Employee,/Employee/UpdateEmployee,/Employee/UpdateEmployee,IMPLEMENTED
Employee,/Employee/DeleteEmployee,/Employee/DeleteEmployee,IMPLEMENTED
Employee,/Employee/DDSalutation,/Employee/DDSalutation,IMPLEMENTED
Employee,/Employee/DDGender,/Employee/DDGender,IMPLEMENTED
Employee,/Employee/DDEmpType,/Employee/DDEmpType,IMPLEMENTED
Employee,/Employee/DDApprover,/Employee/DDApprover,IMPLEMENTED
Employee,/Employee/FetchEmployee,/Employee/FetchEmployee,IMPLEMENTED
Employee,/Employee/ActiveEmployee,/Employee/ActiveEmployee,IMPLEMENTED
Employee,/Employee/DeActiveEmployee,/Employee/DeActiveEmployee,IMPLEMENTED
Employee,/Employee/SelectEmployee,/Employee/SelectEmployee,IMPLEMENTED
Employee,/Employee/GetTotalEmployeeCount,/Employee/GetTotalEmployeeCount,IMPLEMENTED
Employee,/Employee/DDGetLocation,/Employee/DDGetLocation,IMPLEMENTED
Employee,/Employee/DDselectEmployee,/Employee/DDselectEmployee,IMPLEMENTED
Employee,/Employee/DashboardEmployee,/Employee/DashboardEmployee,IMPLEMENTED
Employee,/Employee/GetAllWorkType,/Employee/GetAllWorkType,IMPLEMENTED
Employee,/Employee/GetWorkType,/Employee/GetWorkType,IMPLEMENTED
Employee,/Employee/AddWorkType,/Employee/AddWorkType,IMPLEMENTED
Employee,/Employee/UpdateWorkType,/Employee/UpdateWorkType,IMPLEMENTED
Employee,/Employee/DeleteWorkType,/Employee/DeleteWorkType,IMPLEMENTED
Employee,/Employee/ApproveWorkType,/Employee/ApproveWorkType,IMPLEMENTED
Employee,/Employee/RejectWorkType,/Employee/RejectWorkType,IMPLEMENTED
Employee,/Employee/DDEmployeeApprover,/Employee/DDEmployeeApprover,IMPLEMENTED
Employee,/Employee/EmployeeAttendance,/Employee/EmployeeAttendance,IMPLEMENTED
Employee,/Employee/AttendanceFilter,/Employee/AttendanceFilter,IMPLEMENTED
Employee,/Employee/EachEmployeeAttendance,/Employee/EachEmployeeAttendance,IMPLEMENTED
Employee,/Employee/ReportingEmployeeAttendance,/Employee/ReportingEmployeeAttendance,IMPLEMENTED
Employee,/Employee/OnSiteLogin,/Employee/OnSiteLogin,IMPLEMENTED
Employee,/Employee/OnSiteLogout,/Employee/OnSiteLogout,IMPLEMENTED
Employee,/Employee/GetAllLoginLogs,/Employee/GetAllLoginLogs,IMPLEMENTED
Employee,/Employee/GetAllEmpAccDetails,/Employee/GetAllEmpAccDetails,IMPLEMENTED
Employee,/Employee/GetEmpAccDetails,/Employee/GetEmpAccDetails,IMPLEMENTED
Employee,/Employee/AddEmpAccDetails,/Employee/AddEmpAccDetails,IMPLEMENTED
Employee,/Employee/UpdateEmpAccDetails,/Employee/UpdateEmpAccDetails,IMPLEMENTED
Employee,/Employee/DeleteEmpAccDetails,/Employee/DeleteEmpAccDetails,IMPLEMENTED
Employee,/Employee/GetAllEmpCareerDetails,/Employee/GetAllEmpCareerDetails,IMPLEMENTED
Employee,/Employee/AddEmpCareerDetails,/Employee/AddEmpCareerDetails,IMPLEMENTED
Employee,/Employee/UpdateEmpCareerDetails,/Employee/UpdateEmpCareerDetails,IMPLEMENTED
Employee,/Employee/DeleteEmpCareerDetails,/Employee/DeleteEmpCareerDetails,IMPLEMENTED
Employee,/Employee/UploadImage,/Employee/UploadImage,SKELETON
Employee,/Employee/UploadFileEducation,/Employee/UploadFileEducation,SKELETON
Employee,/Employee/UploadFileGovt,/Employee/UploadFileGovt,SKELETON
Employee,/Employee/UploadFileCareer,/Employee/UploadFileCareer,SKELETON
Employee,/Employee/UploadAttendance,/Employee/UploadAttendance,SKELETON
Employee,/Employee/UploadMultiAttendance,/Employee/UploadMultiAttendance,SKELETON
Employee,/Employee/UploadSingleAttendance,/Employee/UploadSingleAttendance,SKELETON
Employee,/Employee/ERPContractAttendanceDetails,/Employee/ERPContractAttendanceDetails,SKELETON
Employee,/Employee/ERPProjectmappingDetails,/Employee/ERPProjectmappingDetails,SKELETON
Employee,/Employee/DashboardDetails,/Employee/DashboardDetails,IMPLEMENTED
Employee,/Employee/CreateShift,/Employee/CreateShift,IMPLEMENTED
Employee,/Employee/CreateCompanySetting,/Employee/CreateCompanySetting,IMPLEMENTED
Employee,/Employee/CheckHalfDayLoss,/Employee/CheckHalfDayLoss,IMPLEMENTED
Employee,/Employee/GetWorkHours,/Employee/GetWorkHours,IMPLEMENTED
Employee,/Employee/GetAllPages,/Employee/GetAllPages,IMPLEMENTED
Employee,/Employee/SubmitAccessControls,/Employee/SubmitAccessControls,IMPLEMENTED
Employee,/Employee/GetAllEmployeeContactInformation,/Employee/GetAllEmployeeContactInformation,IMPLEMENTED
Employee,/Employee/GetEmployeeContactInformation,/Employee/GetEmployeeContactInformation,IMPLEMENTED
Employee,/Employee/RelievedEmployee,/Employee/RelievedEmployee,IMPLEMENTED
Employee,/Employee/GetAttendanceSource,/Employee/GetAttendanceSource,IMPLEMENTED
Employee,/Employee/GetConsolidatedAttendanceData,/Employee/GetConsolidatedAttendanceData,IMPLEMENTED
Employee,/Employee/DDEducationDoc,/Employee/DDEducationDoc,IMPLEMENTED
Employee,/Employee/DDGovtDoc,/Employee/DDGovtDoc,IMPLEMENTED
Employee,/Employee/GetEducationDoc,/Employee/GetEducationDoc,IMPLEMENTED
Employee,/Employee/AddEducationDoc,/Employee/AddEducationDoc,IMPLEMENTED
Employee,/Employee/UpdateEducationDoc,/Employee/UpdateEducationDoc,IMPLEMENTED
Employee,/Employee/DeleteEducationDoc,/Employee/DeleteEducationDoc,IMPLEMENTED
Employee,/Employee/GetAllGovtDoc,/Employee/GetAllGovtDoc,IMPLEMENTED
Employee,/Employee/GetGovtDoc,/Employee/GetGovtDoc,IMPLEMENTED
Employee,/Employee/AddGovtDoc,/Employee/AddGovtDoc,IMPLEMENTED
Employee,/Employee/UpdateGovtDoc,/Employee/UpdateGovtDoc,IMPLEMENTED
Employee,/Employee/DeleteGovtDoc,/Employee/DeleteGovtDoc,IMPLEMENTED
Employee,/Employee/GetEmpDocuments,/Employee/GetEmpDocuments,SKELETON
Employee,/Employee/GetEmployeeTimeline,/Employee/GetEmployeeTimeline,SKELETON
Employee,/Employee/GetEmployeeStatusHistory,/Employee/GetEmployeeStatusHistory,SKELETON
Employee,/Employee/GetEmpProjects,/Employee/GetEmpProjects,SKELETON
Employee,/Employee/GetEmpEducationDetails,/Employee/GetEmpEducationDetails,SKELETON
Employee,/Employee/GetEmpAddressDetails,/Employee/GetEmpAddressDetails,SKELETON
Employee,/Employee/GetEmpPhoneDetails,/Employee/GetEmpPhoneDetails,SKELETON
Employee,/Employee/GetEmpEmergencyContacts,/Employee/GetEmpEmergencyContacts,SKELETON
Employee,/Employee/GetAllEmpRoles,/Employee/GetAllEmpRoles,SKELETON
Employee,/Employee/GetAllFinanceMaster,/Employee/GetAllFinanceMaster,SKELETON
Employee,/Employee/GetAllApproverWorkType,/Employee/GetAllApproverWorkType,SKELETON
Employee,/Employee/GetAllEducationDoc,/Employee/GetAllEducationDoc,SKELETON
Employee,/Employee/UploadProfilePicture,/Employee/UploadProfilePicture,SKELETON
Employee,/Employee/UpdateProfilePhoto,/Employee/UpdateProfilePhoto,SKELETON
Holiday,/Holiday/GetAllHoliday,/Holiday/GetAllHoliday,IMPLEMENTED
Holiday,/Holiday/GetHolidayByLocation,/Holiday/GetHolidayByLocation,IMPLEMENTED
Holiday,/Holiday/UpdateHolidayStatus,/Holiday/UpdateHolidayStatus,IMPLEMENTED
Holiday,/Holiday/GetAllHolidays,/Holiday/GetAllHolidays,IMPLEMENTED
Holiday,/Holiday/GetHolidaySummary,/Holiday/GetHolidaySummary,IMPLEMENTED
Holiday,/Holiday/AddHolidayType,/Holiday/AddHolidayType,IMPLEMENTED
Holiday,/Holiday/UpdateHolidayType,/Holiday/UpdateHolidayType,IMPLEMENTED
Holiday,/Holiday/DeleteHolidayType,/Holiday/DeleteHolidayType,IMPLEMENTED
Holiday,/Holiday/GetHolidayType,/Holiday/GetHolidayType,IMPLEMENTED
Holiday,/Holiday/GetHolidayCount,/Holiday/GetHolidayCount,IMPLEMENTED
Leave,/Leave/GetAllLeaveType,/Leave/GetAllLeaveType,IMPLEMENTED
Leave,/Leave/GetLeaveType,/Leave/GetLeaveType,IMPLEMENTED
Leave,/Leave/AddLeaveType,/Leave/AddLeaveType,IMPLEMENTED
Leave,/Leave/UpdateLeaveType,/Leave/UpdateLeaveType,IMPLEMENTED
Leave,/Leave/DeleteLeaveType,/Leave/DeleteLeaveType,IMPLEMENTED
Leave,/Leave/ActivateLeaveType,/Leave/ActivateLeaveType,IMPLEMENTED
Leave,/Leave/DeactivateLeaveType,/Leave/DeactivateLeaveType,IMPLEMENTED
Leave,/Leave/DDLeaveType,/Leave/DDLeaveType,IMPLEMENTED
Leave,/Leave/DDApproveManager,/Leave/DDApproveManager,IMPLEMENTED
Leave,/Leave/CompOffLeave,/Leave/CompOffLeave,IMPLEMENTED
Leave,/Leave/CompOffHours,/Leave/CompOffHours,IMPLEMENTED
Leave,/Leave/GetAllEmpCompOffLeave,/Leave/GetAllEmpCompOffLeave,IMPLEMENTED
Leave,/Leave/GetAllCompOffLeave,/Leave/GetAllCompOffLeave,IMPLEMENTED
Leave,/Leave/ApproveCompOff,/Leave/ApproveCompOff,IMPLEMENTED
Leave,/Leave/RejectCompOff,/Leave/RejectCompOff,IMPLEMENTED
Leave,/Leave/DraftLeave,/Leave/DraftLeave,IMPLEMENTED
Leave,/Leave/ApplyLeave,/Leave/ApplyLeave,IMPLEMENTED
Leave,/Leave/DraftApplyLeave,/Leave/DraftApplyLeave,IMPLEMENTED
Leave,/Leave/WithDrawLeave,/Leave/WithDrawLeave,IMPLEMENTED
Leave,/Leave/CancelLeave,/Leave/CancelLeave,IMPLEMENTED
Leave,/Leave/DeleteDraftLeave,/Leave/DeleteDraftLeave,IMPLEMENTED
Leave,/Leave/GetAllLeave,/Leave/GetAllLeave,IMPLEMENTED
Leave,/Leave/GetAllApplyManagerLeave,/Leave/GetAllApplyManagerLeave,IMPLEMENTED
Leave,/Leave/GetAllManagerLeave,/Leave/GetAllManagerLeave,IMPLEMENTED
Leave,/Leave/ApproveLeaveByManager,/Leave/ApproveLeaveByManager,IMPLEMENTED
Leave,/Leave/RejectLeaveByManager,/Leave/RejectLeaveByManager,IMPLEMENTED
Leave,/Leave/GetAllApplyHRLeave,/Leave/GetAllApplyHRLeave,IMPLEMENTED
Leave,/Leave/GetAllHRLeave,/Leave/GetAllHRLeave,IMPLEMENTED
Leave,/Leave/ApproveLeaveByHR,/Leave/ApproveLeaveByHR,IMPLEMENTED
Leave,/Leave/RejectLeaveByHR,/Leave/RejectLeaveByHR,IMPLEMENTED
Leave,/Leave/GetLeaveBalance,/Leave/GetLeaveBalance,IMPLEMENTED
Leave,/Leave/LeaveRequestCount,/Leave/LeaveRequestCount,IMPLEMENTED
Leave,/Leave/LeaveRequestList,/Leave/LeaveRequestList,IMPLEMENTED
Login,/Login/UserName,/Login/Login,IMPLEMENTED
